0.265236117	3.5	1.3	0	0	0	0
0.454074215	7	1.3	0	0	0	0
0.720326985	14	1.3	0	0	0	0
0.960036936	27.5	1.3	0	0	0	0
1.201163459	55	1.3	0	0	0	0
0.370210567	3.5	2.5	0	0	0	0
0.638425163	7	2.5	0	0	0	0
0.979489186	14	2.5	0	0	0	0
1.371493614	27.5	2.5	0	0	0	0
1.691253354	55	2.5	0	0	0	0
0.423507315	3.5	3.5	0	0	0	0
0.727565421	7	3.5	0	0	0	0
1.110675151	14	3.5	0	0	0	0
1.600211163	27.5	3.5	0	0	0	0
1.985861807	55	3.5	0	0	0	0
0.489408634	3.5	5.6	0	0	0	0
0.833985882	7	5.6	0	0	0	0
1.282435658	14	5.6	0	0	0	0
1.788495368	27.5	5.6	0	0	0	0
2.255537979	55	5.6	0	0	0	0
0.563476659	3.5	10.6	0	0	0	0
0.982228088	7	10.6	0	0	0	0
1.492382963	14	10.6	0	0	0	0
2.121065408	27.5	10.6	0	0	0	0
2.574135853	55	10.6	0	0	0	0
0.702777778	5	34	0	0	0	0
1.193396226	10	34	0	0	0	0
1.664473684	20	34	0	0	0	0
2.040322581	40	34	0	0	0	0
2.75	75	34	0	0	0	0
0.085472973	5	34	4	0	0	0
0.167771883	10	34	4	0	0	0
0.31004902	20	34	4	0	0	0
0.559734513	40	34	4	0	0	0
0.821428571	75	34	4	0	0	0
0.149881517	5	34	0	4	0	0
0.282366071	10	34	0	4	0	0
0.518442623	20	34	0	4	0	0
0.85472973	40	34	0	4	0	0
1.240196078	75	34	0	4	0	0
0.34375	5	34	0	0	4	0
0.602380952	10	34	0	0	4	0
1.003968254	20	34	0	0	4	0
1.345744681	40	34	0	0	4	0
1.916666667	75	34	0	0	4	0
0.68531883	84	1.25	0	0	0	0
1.169632573	84	2.5	0	0	0	0
1.542296152	84	5	0	0	0	0
1.808778166	84	10	0	0	0	0
1.951364932	84	20	0	0	0	0
0.281195374	84	1.25	4	0	0	0
0.458990801	84	2.5	4	0	0	0
0.719173018	84	5	4	0	0	0
0.815719038	84	10	4	0	0	0
1.037423934	84	20	4	0	0	0
0.423330825	84	1.25	0	4	0	0
0.664347449	84	2.5	0	4	0	0
1.015350546	84	5	0	4	0	0
1.230272761	84	10	0	4	0	0
1.421121981	84	20	0	4	0	0
0.57137681	84	1.25	0	0	4	0
1.007331555	84	2.5	0	0	4	0
1.394306384	84	5	0	0	4	0
1.861677294	84	10	0	0	4	0
2.181082808	84	20	0	0	4	0
0.841898428	60	0.7	0	0	0	0
0.626124101	60	0.7	0.5	0	0	0
0.498389406	60	0.7	1	0	0	0
0.354867482	60	0.7	2	0	0	0
0.224451966	60	0.7	4	0	0	0
2.19637224	60	2.8	0	0	0	0
1.846816976	60	2.8	0.5	0	0	0
1.575226244	60	2.8	1	0	0	0
1.21722028	60	2.8	2	0	0	0
0.826900238	60	2.8	4	0	0	0
3.933615819	60	10.3	0	0	0	0
3.208525346	60	10.3	0.5	0	0	0
2.709143969	60	10.3	1	0	0	0
2.162267081	60	10.3	2	0	0	0
1.507034632	60	10.3	4	0	0	0
0.341307815	2	3.1	0	0	0	0
0.445833333	3	3.1	0	0	0	0
0.581521739	4	3.1	0	0	0	0
0.884297521	8.5	3.1	0	0	0	0
1.296969697	18	3.1	0	0	0	0
1.562043796	32	3.1	0	0	0	0
0.253554502	2	3.1	0	0	0	80
0.330246914	3	3.1	0	0	0	80
0.473451327	4	3.1	0	0	0	80
0.718120805	8.5	3.1	0	0	0	80
1.10880829	18	3.1	0	0	0	80
1.417218543	32	3.1	0	0	0	80
0.177152318	2	3.1	0	0	0	160
0.243458476	3	3.1	0	0	0	160
0.353135314	4	3.1	0	0	0	160
0.560209424	8.5	3.1	0	0	0	160
0.938596491	18	3.1	0	0	0	160
1.195530726	32	3.1	0	0	0	160
