2	5.400195384	0
4	12.98157521	0
6	20.86869475	0
8	29.68871236	0
10	40.99444804	0
2	13.78783554	5.688808707
4	26.02526323	17.26014433
6	48.19591463	26.54826689
8	59.81703861	38.43753697
10	76.70448378	44.78439607
2	16.26872932	8.625635869
4	35.95848694	20.85058559
6	66.20742057	36.02123506
8	78.1366964	50.84585354
10	95.34073595	65.6926535
2	20.92960147	18.43428369
4	46.20830502	40.46344493
6	70.55772872	65.10558382
8	95.53069257	86.47817343
10	105.9023241	101.3175796
2	27.45265155	24.96746717
4	55.83337689	54.8370401
6	77.69467036	77.52129422
8	101.7347361	105.422631
10	131.9824637	127.7859931
