2	2.226296145	0.062939564
4	5.07115443	0.128024794
6	10.07966131	0.192394803
8	18.80415716	5.429252593
10	26.59817201	10.66611038
2	9.960301236	3.297174872
4	22.69951597	7.239480272
6	37.91561705	18.62152819
8	56.53974493	25.79592323
10	72.06314873	35.88270354
2	14.59819839	5.883418763
4	34.45285607	14.99749672
6	49.05039501	25.08570747
8	65.81422033	40.02169508
10	85.36091584	52.37358446
2	17.38040912	15.57897246
4	39.09075322	36.33758493
6	62.34882157	56.77005603
8	78.80666306	72.35045893
10	102.6813152	91.48766242
2	20.78184144	20.75575158
4	42.80344496	43.12432948
6	66.37211327	66.78889021
8	90.25006265	88.19048754
10	107.9417312	112.8270354
