2	0	10.3506445		
4	0	20.34953503		
6	0	32.08374518		
8	0	45.20908559		
10	0	61.46163234		
2	7.76	15.55735985		
4	15.53	29.37864362		
6	28.53	41.46309483		
8	43.99	53.88870958		
10	55.59	77.08404777		
2	13.00431085	17.29570532		
4	28.46534779	34.93181772		
6	47.76568727	48.05942751		
8	61.8189545	62.22565711		
10	79.3702699	86.11315636		
2	19.6499916	16.25557259		
4	40.00157776	38.40699574		
6	56.85206203	51.52931031		
8	76.50434393	68.47326165		
10	102.0976583	92.70948904		
2	22.79457047	20.42064229		
4	44.19282272	37.71407823		
6	74.33772222	54.30778851		
8	90.13543294	77.15212918		
10	110.4862557	98.96011942		
