1.725560379	64.49618227	15	100						
1.725560379	64.49618227	15	100						
1.537953378	108.1808528	15	100						
1.381617822	144.3759797	15	100						
1.053571042	205.4799072	15	100						
1.208638836	242.5613835	15	100						
0.947826747	317.5001625	15	100						
0.749134961	401.8853886	15	100						
1.279351744	55.35529823	9.6	100						
1.107694697	77.13262011	9.6	100						
0.977548706	99.57091156	9.6	100						
0.852365404	135.1657481	9.6	100						
0.68534598	188.8884876	9.6	100						
0.459792824	325.8608858	9.6	100						
0.847457627	100	6.958250497	112.2						
1.076271186	100	6.838966203	112.2						
1.279661017	100	7.196819085	112.2						
1.508474576	100	11.49105368	112.2						
2.389830508	100	18.52882704	112.2						
2.593220339	100	18.3499006	112.2						
2.796610169	100	24.01590457	112.2						
2.610169492	100	25.20874751	112.2						
2.838983051	100	29.14512922	112.2						
3.237288136	100	36.48111332	112.2						
3.406779661	100	36.48111332	112.2						
3.525423729	100	36.89860835	112.2						
3.593220339	100	49.30417495	112.2						
3.745762712	100	49.06560636	112.2						
