0.274236793	0.1	0.005	0.033	0	0
0.373851005	0.2	0.005	0.033	0	0
0.358208114	0.35	0.005	0.033	0	0
0.39116388	0.5	0.005	0.033	0	0
0.290196769	0.05	0.01	0.066	0	0
0.368851622	0.1	0.01	0.066	0	0
0.496157979	0.2	0.01	0.066	0	0
0.554364331	0.35	0.01	0.066	0	0
0.598851445	0.5	0.01	0.066	0	0
0.359430655	0.05	0.02	0.133	0	0
0.456543414	0.1	0.02	0.133	0	0
0.634618705	0.2	0.02	0.133	0	0
0.750513503	0.35	0.02	0.133	0	0
0.797318865	0.5	0.02	0.133	0	0
0.377892085	0.05	0.05	0.333	0	0
0.560385435	0.1	0.05	0.333	0	0
0.921285254	0.35	0.05	0.333	0	0
1.002698751	0.5	0.05	0.333	0	0
0.034542643	0.025	0.005	0.02	0	0
0.034616543	0.025	0.01	0.02	0	0
0.038570202	0.025	0.02	0.02	0	0
0.046486047	0.025	0.04	0.02	0	0
0.064500634	0.025	0.1	0.02	0	0
0.088182795	0.05	0.005	0.04	0	0
0.105486803	0.05	0.01	0.04	0	0
0.126687624	0.05	0.02	0.04	0	0
0.130780556	0.05	0.04	0.04	0	0
0.143042299	0.05	0.1	0.04	0	0
0.208873136	0.1	0.005	0.08	0	0
0.201275631	0.1	0.01	0.08	0	0
0.262706565	0.1	0.02	0.08	0	0
0.253383775	0.1	0.04	0.08	0	0
0.273308397	0.1	0.1	0.08	0	0
0.547955523	0.5	0.005	0.4	0	0
0.710854229	0.5	0.01	0.4	0	0
0.879565467	0.5	0.02	0.4	0	0
0.71890082	0.5	0.04	0.4	0	0
0.794384156	0.5	0.1	0.4	0	0
0.084230804	0.05	0.005	0.02	0	0
0.145013996	0.05	0.005	0.04	0	0
0.172780905	0.05	0.005	0.08	0	0
0.174978178	0.05	0.005	0.16	0	0
0.216551786	0.05	0.005	0.4	0	0
0.152277037	0.1	0.01	0.02	0	0
0.218574482	0.1	0.01	0.04	0	0
0.215079915	0.1	0.01	0.08	0	0
0.226475634	0.1	0.01	0.16	0	0
0.413334136	0.1	0.01	0.4	0	0
0.247909581	0.2	0.02	0.02	0	0
0.288453782	0.2	0.02	0.04	0	0
0.327264245	0.2	0.02	0.08	0	0
0.373599615	0.2	0.02	0.16	0	0
0.527354544	0.2	0.02	0.4	0	0
0.3325076	0.5	0.05	0.02	0	0
0.523862986	0.5	0.05	0.04	0	0
0.5829004	0.5	0.05	0.08	0	0
0.715672877	0.5	0.05	0.16	0	0
0.871266893	0.5	0.05	0.4	0	0
0.348222237	0.5	0.05	0.02	0	0
0.573629034	0.5	0.05	0.08	0	0
0.630221168	0.5	0.05	0.16	0	0
0.678519502	0.5	0.05	0.4	0	0
0.241556433	0.5	0.05	0.02	0	0.01
0.330522319	0.5	0.05	0.04	0	0.01
0.404743941	0.5	0.05	0.08	0	0.01
0.50429869	0.5	0.05	0.16	0	0.01
0.555557534	0.5	0.05	0.4	0	0.01
0.105263669	0.5	0.05	0.02	0	0.02
0.189785146	0.5	0.05	0.04	0	0.02
0.378376212	0.5	0.05	0.16	0	0.02
0.475558182	0.5	0.05	0.4	0	0.02
0.155706491	0.5	0.05	0.04	0	0.05
0.209194825	0.5	0.05	0.08	0	0.05
0.279112899	0.5	0.05	0.16	0	0.05
0.404447647	0.5	0.05	0.4	0	0.05
0.085634744	1	0.001	0.336	0	0
0.161358575	1	0.002	0.336	0	0
0.223719376	1	0.004	0.336	0	0
0.264365256	1	0.01	0.336	0	0
0.06169265	1	0.001	0.336	6.6	0
0.128507795	1	0.002	0.336	6.6	0
0.176948775	1	0.004	0.336	6.6	0
0.237639198	1	0.01	0.336	6.6	0
0.048886414	1	0.001	0.336	13.2	0
0.091759465	1	0.002	0.336	13.2	0
0.163585746	1	0.004	0.336	13.2	0
0.222605791	1	0.01	0.336	13.2	0
0.220994475	1	0.001	0.016	0	0.042
0.302762431	1	0.002	0.016	0	0.042
0.362430939	1	0.003	0.016	0	0.042
0.401104972	1	0.005	0.016	0	0.042
0.482872928	1	0.01	0.016	0	0.042
0.514917127	1	0.04	0.016	0	0.042
0.149171271	1	0.001	0.016	6.6	0.042
0.184530387	1	0.002	0.016	6.6	0.042
0.256353591	1	0.003	0.016	6.6	0.042
0.333701657	1	0.005	0.016	6.6	0.042
0.401104972	1	0.01	0.016	6.6	0.042
0.499447514	1	0.04	0.016	6.6	0.042
0.082872928	1	0.001	0.016	13.2	0.042
0.106077348	1	0.002	0.016	13.2	0.042
0.145856354	1	0.003	0.016	13.2	0.042
0.226519337	1	0.005	0.016	13.2	0.042
0.290607735	1	0.01	0.016	13.2	0.042
0.411049724	1	0.04	0.016	13.2	0.042
