0.001341306	1	0.0833	0	0
0.00158035	1.25	0.0833	0	0
0.001829403	2	0.0833	0	0
0.002156965	4.25	0.0833	0	0
0.001600154	1	0.111	0	0
0.001866847	1.25	0.111	0	0
0.002209209	2	0.111	0	0
0.002716858	4.25	0.111	0	0
0.001872321	1	0.167	0	0
0.002209209	1.25	0.167	0	0
0.002595372	2	0.167	0	0
0.003414233	4.25	0.167	0	0
0.002164276	1	0.333	0	0
0.002616646	1.25	0.333	0	0
0.003325321	2	0.333	0	0
0.00469457	4.25	0.333	0	0
0.003173853	10	0.66	0	0
0.003531882	10	0.88	0	0
0.003711279	10	1.32	0	0
0.003929796	10	2.6	0	0
0.002319822	10	0.66	8	0
0.002607639	10	0.88	8	0
0.002920218	10	1.32	8	0
0.003207071	10	2.6	8	0
0.001777124	10	0.66	16	0
0.002012578	10	0.88	16	0
0.002292157	10	1.32	16	0
0.002643552	10	2.6	16	0
0.001493496	10	0.66	24	0
0.001635021	10	0.88	24	0
0.001958615	10	1.32	24	0
0.002373675	10	2.6	24	0
0.002244915	4	1.33	0	0
0.002586726	5.5	1.33	0	0
0.002927273	8	1.33	0	0
0.003625523	16	1.33	0	0
0.001603105	4	1.33	0	0.08
0.001814867	5.5	1.33	0	0.08
0.002164263	8	1.33	0	0.08
0.002631322	16	1.33	0	0.08
0.00128758	4	1.33	0	0.16
0.001366724	5.5	1.33	0	0.16
0.001696487	8	1.33	0	0.16
0.002016739	16	1.33	0	0.16
0.001024783	4	1.33	0	0.24
0.001136474	5.5	1.33	0	0.24
0.001351386	8	1.33	0	0.24
0.001604555	16	1.33	0	0.24
0.005329619	40	0.6	0	0
0.005882147	40	0.8	0	0
0.006336598	40	1.2	0	0
0.007213194	40	2.4	0	0
0.003943688	40	0.6	0	0.04
0.004536604	40	0.8	0	0.04
0.005339351	40	1.2	0	0.04
0.006553216	40	2.4	0	0.04
0.003199842	40	0.6	0	0.08
0.003800968	40	0.8	0	0.08
0.004596915	40	1.2	0	0.08
0.005894089	40	2.4	0	0.08
0.002620873	40	0.6	0	0.12
0.003181827	40	0.8	0	0.12
0.003973434	40	1.2	0	0.12
0.005377776	40	2.4	0	0.12
