35.2	2	0.25	0.1	0	0
44.1	2	0.25	0.1	0.05	0
57.7	2	0.25	0.1	0.1	0
68.2	2	0.25	0.1	0.2	0
76	2	0.25	0.1	0.5	0
79.5	2	0.25	0.1	1	0
78.5	2	0.25	0.1	2	0
78.1	2	0.25	0.1	5	0
13.5	2	0.25	0.1	0	1.5
18.4	2	0.25	0.1	0.05	1.5
22.2	2	0.25	0.1	0.1	1.5
27.3	2	0.25	0.1	0.2	1.5
36.5	2	0.25	0.1	0.5	1.5
46.7	2	0.25	0.1	1	1.5
55	2	0.25	0.1	2	1.5
55.7	2	0.25	0.1	5	1.5
5.340004423	0.1	0.25	1	0	0
13.72512163	0.25	0.25	1	0	0
26.47501106	0.5	0.25	1	0	0
32.50055285	0.75	0.25	1	0	0
32.13622291	1	0.25	1	0	0
45.53681999	1.5	0.25	1	0	0
45.09453782	2.5	0.25	1	0	0
58.10592658	3.5	0.25	1	0	0
71.40037594	5	0.25	1	0	0
71.48606811	7.5	0.25	1	0	0
71.23396727	10	0.25	1	0	0
2.987063246	0.1	0.25	1	0	0.6
7.341884122	0.25	0.25	1	0	0.6
19.75066342	0.5	0.25	1	0	0.6
21.40811588	0.75	0.25	1	0	0.6
26.76138877	1	0.25	1	0	0.6
29.06291464	1.5	0.25	1	0	0.6
41.39871738	2.5	0.25	1	0	0.6
42.30926581	3.5	0.25	1	0	0.6
61.99026979	5	0.25	1	0	0.6
56.02388324	7.5	0.25	1	0	0.6
61.48440955	10	0.25	1	0	0.6
13.40888987	0.1	0.25	1	0.6	0
26.839341	0.25	0.25	1	0.6	0
52.69681557	0.5	0.25	1	0.6	0
66.11565679	0.75	0.25	1	0.6	0
79.53781513	1	0.25	1	0.6	0
93.26957099	1.5	0.25	1	0.6	0
106.6071429	2.5	0.25	1	0.6	0
120.964728	3.5	0.25	1	0.6	0
120.8154578	5	0.25	1	0.6	0
120.5633569	7.5	0.25	1	0.6	0
119.6406457	10	0.25	1	0.6	0
35.2	2	0.25	0.1	0	0
28.7	2	0.25	0.1	0	0.05
21.4	2	0.25	0.1	0	0.2
17.3	2	0.25	0.1	0	0.5
14.8	2	0.25	0.1	0	1
14.3	2	0.25	0.1	0	2
14.2	2	0.25	0.1	0	5
