31.36776985	2.5	2.5	0	0
40.53178922	4	2.5	0	0
45.54188375	5	2.5	0	0
55.27954596	8	2.5	0	0
60.26192169	10	2.5	0	0
72.75249395	20	2.5	0	0
78.98888314	35	2.5	0	0
82.98244796	40	2.5	0	0
43.67386546	2.5	5	0	0
58.48801767	4	5	0	0
64.4304505	5	5	0	0
77.7425193	8	5	0	0
87.46717763	10	5	0	0
105.7695481	20	5	0	0
112.2991092	35	5	0	0
122.5383351	40	5	0	0
61.75159076	2.5	10	0	0
82.40119314	4	10	0	0
92.34284858	5	10	0	0
112.2660613	8	10	0	0
124.800405	10	10	0	0
144.7733413	20	10	0	0
157.2915133	35	10	0	0
30.54670578	2.5	2.5	0	0
39.85287781	2.5	4	0	0
43.5036865	2.5	5	0	0
51.37229796	2.5	8	0	0
60.1121111	2.5	10	0	0
67.10158009	2.5	18	0	0
73.34364087	2.5	25	0	0
75.41144628	2.5	30	0	0
44.94472697	5	2.5	0	0
58.41647928	5	4	0	0
64.08840123	5	5	0	0
73.75948365	5	8	0	0
91.31751122	5	10	0	0
97.56192251	5	18	0	0
105.2596629	5	25	0	0
107.8267622	5	30	0	0
60.10453673	10	2.5	0	0
81.18268132	10	4	0	0
86.6454075	10	5	0	0
99.1367283	10	8	0	0
116.4427839	10	10	0	0
134.3370179	10	18	0	0
140.1615014	10	25	0	0
151.2153527	10	30	0	0
-0.005579756	0	0	20	1
-0.007585172	0	0	33	1
-0.009489802	0	0	50	1
-0.012628924	0	0	100	1
-0.009001783	0	0	20	2
-0.012324865	0	0	33	2
-0.015266405	0	0	50	2
-0.020375859	0	0	100	2
-0.013397069	0	0	20	4
-0.018187295	0	0	33	4
-0.021881006	0	0	50	4
-0.029391502	0	0	100	4
-0.018322549	0	0	20	10
-0.025040736	0	0	33	10
-0.031809848	0	0	50	10
-0.041221852	0	0	100	10
-0.005634685	0	0	20	1
-0.008996183	0	0	20	2
-0.013748182	0	0	20	4
-0.019416894	0	0	20	10
-0.007706034	0	0	33	1
-0.012659591	0	0	33	2
-0.018411848	0	0	33	4
-0.025974774	0	0	33	10
-0.009706165	0	0	50	1
-0.015851766	0	0	50	2
-0.022816878	0	0	50	4
-0.031622388	0	0	50	10
-0.012867596	0	0	100	1
-0.020878592	0	0	100	2
-0.031000753	0	0	100	4
-0.042899318	0	0	100	10
