10.67157066	5.12	4.439131783
9.777292049	5.12	11.60050651
7.731380142	5.12	19.88309225
5.635132224	5.12	27.97652387
4.491275267	5.12	36.07894032
2.051922804	5.12	51.15026718
14.032524	7.36	6.734989833
13.53546902	7.36	10.50388554
11.13972709	7.36	19.72656722
8.448694574	7.36	33.85212352
6.912027574	7.36	49.30932477
2.366969488	7.36	63.983428
17.58767556	8.16	3.372302584
15.04008491	8.16	11.27279701
15.34945697	8.16	19.01156467
11.65716868	8.16	34.25975063
8.615885793	8.16	48.94804042
5.174226701	8.16	64.1985908
20.84690602	10.32	4.346446267
17.00403003	10.32	19.40453234
17.22092675	10.32	34.12355967
12.37595431	10.32	49.5495505
5.592467463	10.32	79.67423458
25.10802276	13.04	4.764003972
22.1659407	13.04	18.50983339
19.22554001	13.04	33.76511263
16.73564136	13.04	48.45860415
12.80071038	13.04	70.87431235
7.558724471	13.04	89.88146342
