0.01828926	0.583	0.031290263	0.000685081
0.03516923	1.4	0.03089153	0.000677537
0.05120221	0.784	0.030730488	0.000683729
0.06805435	0.857	0.030664837	0.000684091
0.08490739	0.646	0.031751105	0.000680505
0.10179577	0.906	0.031972626	0.000682569
0.11783023	0.355	0.03059692	0.013832291
0.13473075	0.97	0.031046155	0.000678383
0.15164825	1.27	0.031923562	0.000688872
0.1685374	0.593	0.032031482	0.013710069
0.18460474	1.46	0.031226501	0.013364549
0.20152904	0.451	0.030919986	0.000676773
0.21839161	1.1	0.031549862	0.000682217
0.23443419	0.403	0.031411123	0.000684256
0.25133896	0.841	0.031336563	0.013635301
0.26820612	0.8	0.031911802	0.013562346
0.28508272	0.695	0.031928663	0.000677361
0.30113926	0.538	0.031467971	0.000673968
0.31805725	0.834	0.032631289	0.000679297
0.33494015	3.11	0.032306715	0.013685944
0.35180403	0.334	0.031675214	0.000685644
0.36782494	0.478	0.031892146	0.000675432
0.38469664	0.495	0.031245878	0.000683762
0.40155087	0.528	0.031840508	0.00067269
0.41842222	0.322	0.031911989	0.000679991
0.4344685	0.549	0.030951209	0.013593831
0.4513574	0.517	0.031741816	0.000670987
0.46819258	0.354	0.032197286	0.013742475
0.48506063	0.317	0.031343753	0.013524821
0.50195227	0.307	0.031531185	0.000680471
0.51798671	0.307	0.031462263	0.00067592
0.53487333	0.292	0.030861217	0.013549725
0.55174109	0.377	0.031240617	0.00067665
0.56780767	0.266	0.030773732	0.000681628
0.5846784	1.33	0.030967173	0.000682161
0.60157883	0.349	0.031041055	0.000668626
0.61847317	0.363	0.031756137	0.000678225
0.63451805	0.326	0.03084435	0.000675039
0.6514125	0.352	0.030596194	0.000682106
0.66830583	0.384	0.031736197	0.000667841
0.68520559	0.293	0.032492644	0.000689513
0.7012745	0.408	0.03127531	0.000682018
0.71819897	0.256	0.030759016	0.000686709
0.73507938	0.312	0.031095231	0.000682425
0.75196933	0.315	0.031009141	0.000680502
0.76800717	0.382	0.032290789	0.000681556
0.78487574	0.365	0.03127338	0.000672674
0.80177047	0.223	0.030999925	0.000681862
0.81780517	0.354	0.031222155	0.013688379
0.83468793	0.222	0.031922975	0.000686703
0.85156994	0.333	0.030565871	0.013581731
0.86846263	0.275	0.031290263	0.000679472
0.88529367	0.26	0.032068204	0.000684532
0.90136045	0.286	0.031937299	0.000679208
0.91824544	0.28	0.030658588	0.000685594
0.93514837	0.306	0.47427061	0.000683645
