13.79239473	7.4	15	8.557111064
13.72417332	7.4	15	12.14913471
15.2282518	7.4	15	16.7170329
17.87815385	7.4	15	24.60732597
21.81698405	7.4	15	36.09714334
23.41223001	7.4	15	62.77262656
24.2817137	7.4	15	76.59435773
26.08199399	7.4	15	92.90827983
20.5781425	7.4	30	8.594614333
23.51005927	7.4	30	12.34138831
24.72829868	7.4	30	16.76953748
27.30479795	7.4	30	22.44871675
29.38610603	7.4	30	33.51376025
31.48974335	7.4	30	69.58756273
36.5820458	7.4	30	92.96631121
59.63768116	9.05	20	31.14563107
49.61352657	8.75	20	62.60194175
24.37198068	8.35	20	112
7.463768116	8	20	157.9029126
2.995169082	7.6	20	177.7087379
