-0.0177	0	0	0	50	0.02	0.1
-0.0225	0	0	0	50	0.025	0.1
-0.0225	0	0	0	50	0.03	0.1
-0.0268	0	0	0	50	0.04	0.1
-0.0257	0	0	0	50	0.05	0.1
-0.0269	0	0	0	50	0.07	0.1
-0.0127	0	0	0	10	0.02	0.1
-0.0178	0	0	0	10	0.025	0.1
-0.0147	0	0	0	10	0.03	0.1
-0.0187	0	0	0	10	0.04	0.1
-0.021	0	0	0	10	0.05	0.1
-0.0243	0	0	0	10	0.07	0.1
-0.00942	0	0	0	1	0.015	0.1
-0.0111	0	0	0	1	0.02	0.1
-0.0123	0	0	0	1	0.025	0.1
-0.0126	0	0	0	1	0.03	0.1
-0.0129	0	0	0	1	0.04	0.1
-0.0143	0	0	0	1	0.05	0.1
-0.0152	0	0	0	1	0.07	0.1
-0.00828	0	0	0	0.4	0.015	0.1
-0.00886	0	0	0	0.4	0.02	0.1
-0.00888	0	0	0	0.4	0.03	0.1
-0.0103	0	0	0	0.4	0.05	0.1
0.0329	0.1	0.015	50	0	0	0
0.0332	0.1	0.02	50	0	0	0
0.0359	0.1	0.03	50	0	0	0
0.0354	0.1	0.05	50	0	0	0
0.0363	0.1	0.1	50	0	0	0
0.0223	0.1	0.015	50	0	0.05	0
0.0264	0.1	0.02	50	0	0.05	0
0.0286	0.1	0.03	50	0	0.05	0
0.0311	0.1	0.05	50	0	0.05	0
0.0193	0.1	0.015	50	0	0.1	0
0.0221	0.1	0.02	50	0	0.1	0
0.0248	0.1	0.03	50	0	0.1	0
0.0286	0.1	0.05	50	0	0.1	0
0.0311	0.1	0.1	50	0	0.1	0
0.0113	0.035	0.05	1	0	0	0
0.012	0.04	0.05	1	0	0	0
0.0119	0.05	0.05	1	0	0	0
0.0119	0.07	0.05	1	0	0	0
0.0133	0.085	0.05	1	0	0	0
0.0135	0.1	0.05	1	0	0	0
0.0135	0.15	0.05	1	0	0	0
0.0144	0.17	0.05	1	0	0	0
0.00823	0.035	0.05	1	0	0	0.02
0.00926	0.04	0.05	1	0	0	0.02
0.0102	0.05	0.05	1	0	0	0.02
0.0112	0.07	0.05	1	0	0	0.02
0.0112	0.085	0.05	1	0	0	0.02
0.0131	0.15	0.05	1	0	0	0.02
0.00669	0.035	0.05	1	0	0	0.04
0.00823	0.04	0.05	1	0	0	0.04
0.00874	0.05	0.05	1	0	0	0.04
0.0103	0.07	0.05	1	0	0	0.04
0.0106	0.085	0.05	1	0	0	0.04
0.0118	0.15	0.05	1	0	0	0.04
0.0111	0.035	0.05	1	0	0	0
0.0118	0.04	0.05	1	0	0	0
0.0124	0.05	0.05	1	0	0	0
0.0118	0.07	0.05	1	0	0	0
0.0135	0.085	0.05	1	0	0	0
0.0138	0.12	0.05	1	0	0	0
0.0137	0.14	0.05	1	0	0	0
0.0153	0.17	0.05	1	0	0	0
0.00903	0.035	0.05	1	0.5	0	0
0.00903	0.04	0.05	1	0.5	0	0
0.00914	0.05	0.05	1	0.5	0	0
0.0101	0.07	0.05	1	0.5	0	0
0.0112	0.085	0.05	1	0.5	0	0
0.0114	0.12	0.05	1	0.5	0	0
0.0122	0.17	0.05	1	0.5	0	0
0.00526	0.035	0.05	1	2	0	0
0.00577	0.04	0.05	1	2	0	0
0.00589	0.05	0.05	1	2	0	0
0.00731	0.07	0.05	1	2	0	0
0.00697	0.085	0.05	1	2	0	0
0.00743	0.12	0.05	1	2	0	0
0.00789	0.17	0.05	1	2	0	0
